earthquake id	city name	distance
usb000j4te	Ambato	182.05996215165254
usb000j4n1	Wellington	87.44095600437662
usb000j4n1	Lower Hutt	104.91790355145386
usb000j4lh	Wellington	84.93816567866536
usb000j4lh	Lower Hutt	102.06859681144445
usb000j4l3	Wellington	59.90125737896958
usb000j4l3	Lower Hutt	77.04416695340491
usb000j4ku	Wellington	96.58140495675947
usb000j4ku	Lower Hutt	113.93047373024804
usb000j4kk	Wellington	116.53068755060332
usb000j4kk	Lower Hutt	133.96912305115555
usb000j4jx	Wellington	71.56650042216042
usb000j4jx	Lower Hutt	88.66771571541521
usb000j4j6	Wellington	94.42846397594073
usb000j4j6	Lower Hutt	111.6653064855366
usb000j4yq	Wellington	89.39899043247823
usb000j4yq	Lower Hutt	106.82537493773184
usb000j4iz	Wellington	95.67340590134634
usb000j4iz	Lower Hutt	113.0470738873303
usb000j4ia	Villa Nueva	153.40563433991593
usb000j4ia	Villa Canales	154.9895847477391
usb000j4ia	San Juan Sacatepequez	163.847398854651
usb000j4ia	Quetzaltenango	135.1175486914633
usb000j4ia	Petapa	154.73137390738754
usb000j4ia	Mixco	159.88217887247654
usb000j4ia	Escuintla	120.75142132255235
usb000j4ia	Guatemala City	167.96585822283575
usb000j4ia	Tapachula	158.8109212689442
usb000j4gh	Siracusa	118.70246289836895
usb000j4gh	Reggio Calabria	68.79927161211552
usb000j4gh	Palermo	186.9800174516115
usb000j4gh	Messina	56.83190538381355
usb000j4gh	Catania	69.74670457170646
usb000j43q	Palu	167.45980320680596
usb000j3sa	Vina del Mar	57.234511618366184
usb000j3sa	Valparaiso	57.61935318798145
usb000j3sa	Santiago	153.51040950882174
usb000j3sa	San Bernardo	160.17553931179197
usb000j3sa	Quilpue	63.415801640514985
usb000j3sa	Puente Alto	171.2293915935783
usb000j3sa	La Pintana	164.42586572876047
usb000j3sa	Lo Prado	146.31727046008936
usb000j3pp	Gorontalo	55.71743622077205
usb000j303	Mati	185.07294756339613
usb000j2zk	Panalanoy	146.61565126507054
usb000j2zk	Libertad	154.24080382890452
usb000j2zk	Butuan	152.45791386561083
usb000j2q4	Bandarlampung	40.50906911256175
usb000j2q4	Serang	165.60335881505125
usb000j2q4	Rangkasbitung	191.12434846829095
usb000j2q4	Metro	42.342516581916435
usb000j2q4	Kresek	187.77730615895896
usb000j2q4	Baturaja	150.49306548852093
usb000j29x	Puno	91.04339361855705
usb000j29x	Juliaca	59.02226147225964
usb000j29x	Arequipa	160.6255965459598
usb000j29s	Ternate	80.34015210817172
usb000j28u	Oaxaca	179.80158510519556
usb000j28u	Chilpancingo de los Bravos	159.05193564778176
usb000j28u	Acapulco de Juarez	176.09884119084268
usb000j1vb	Yamagata-shi	178.0078307334228
usb000j1vb	Sendai-shi	122.72142160463336
usb000j1vb	Morioka-shi	148.2881938134018
usb000j1vb	Ishinomaki	72.41104535872242
usb000j1vb	Fukushima-shi	187.84235411284197
usb000j1vb	Sendai	123.6699847809349
usb000j1v2	Piura	185.41714017632054
usb000j1v2	Chiclayo	189.46735006393277
usb000j1u9	Obihiro	99.04240048076521
usb000j1u9	Kushiro	126.88833536474074
usb000j1u9	Kitami	40.33027013290152
usb000j1u9	Asahikawa	129.1574515713283
usb000j1pk	Quetzaltenango	175.79796849130193
usb000j1pk	Tapachula	99.3591709524874
usb000j19g	Yokkaichi	147.98764129982112
usb000j19g	Yao	193.9256895792774
usb000j19g	Yaizu	186.61075581884123
usb000j19g	Uji	193.47307935490238
usb000j19g	Tsu-shi	129.55216338086356
usb000j19g	Toyota	150.925561864999
usb000j19g	Toyokawa	125.6728238081157
usb000j19g	Toyohashi	119.82514565352672
usb000j19g	Tondabayashi	187.64074205884276
usb000j19g	Tajimi	176.7922080946041
usb000j19g	Suzuka	140.87228653295134
usb000j19g	Shizuoka-shi	199.05812347996235
usb000j19g	Seto	167.49453319032065
usb000j19g	Otsu-shi	197.32456490977046
usb000j19g	Okazaki	136.20768768269582
usb000j19g	Ogaki	188.30686003830525
usb000j19g	Nishio	126.87688650346956
usb000j19g	Nara-shi	179.15023021124446
usb000j19g	Nagoya-shi	163.167920611927
usb000j19g	Matsuzaka	112.70593530571108
usb000j19g	Matsubara	196.01601666370237
usb000j19g	Kuwana	155.4900650750962
usb000j19g	Kusatsu	190.92213710830626
usb000j19g	Konan	180.24701410647597
usb000j19g	Komaki	174.25588076345625
usb000j19g	Kasugai	169.68436035889187
usb000j19g	Kashihara-shi	169.38525622265075
usb000j19g	Kariya	140.32295591412674
usb000j19g	Kakamigahara	189.66012595469797
usb000j19g	Inazawa	172.98222825016128
usb000j19g	Ikoma	188.53502745397796
usb000j19g	Ichinomiya	178.06807997197308
usb000j19g	Hikone	193.94934076252255
usb000j19g	Handa	129.94194962122214
usb000j19g	Hamamatsu	129.05095236274664
usb000j19g	Gifu-shi	192.3173109884808
usb000j19g	Fujieda	181.2442109342467
usb000j19g	Daito	197.25968620463155
usb000j19g	Anjo	136.94945916604647
usb000j13i	Utsunomiya-shi	144.49750338399303
usb000j13i	Urayasu	195.81603539911006
usb000j13i	Soka	191.57215394402465
usb000j13i	Oyama	163.45515745539345
usb000j13i	Noda	178.56463241699302
usb000j13i	Nagareyama	180.64019271156644
usb000j13i	Matsudo	186.24102417287463
usb000j13i	Koshigaya	189.0610247479363
usb000j13i	Kasukabe	186.26060541522634
usb000j13i	Kashiwa	175.2603110009539
usb000j13i	Iwatsuki	193.521262904029
usb000j13i	Ichikawa	189.12013988369523
usb000j13i	Funabashi	186.68460942613646
usb000j13i	Ashikaga	198.2091385052595
usb000j13i	Ageoshimo	199.02941981246659
usb000j13i	Yamagata-shi	170.49488356707113
usb000j13i	Tsukuba	139.89996746778706
usb000j13i	Sendai-shi	153.2723363695405
usb000j13i	Sakura	166.73217015015211
usb000j13i	Narita	155.27137420852264
usb000j13i	Narashino	183.7207005287948
usb000j13i	Mito-shi	99.67375952186325
usb000j13i	Koriyama	99.5092627137105
usb000j13i	Katsuta	89.32773413817142
usb000j13i	Iwaki	31.84731901913037
usb000j13i	Ishinomaki	167.8442828590755
usb000j13i	Ichihara	194.51211470356995
usb000j13i	Hitachi	64.3804433825028
usb000j13i	Fukushima-shi	118.8435182716349
usb000j13i	Chiba	184.03704267080283
usb000j13i	Abiko	170.4362343857112
usb000j13i	Edogawa-ku	193.94025586981758
usb000j13i	Hitachi-Naka	88.23701944844933
usb000j13i	Kamagaya-shi	178.66182367245761
usb000j13i	Saitama	198.88351714034243
usb000j13i	Adachi-ku	195.32335022112716
usb000j13i	Arakawa-ku	199.6093061879284
usb000j13i	Katsushika-ku	194.09107366367562
usb000j13i	Sumida-ku	199.76753180771973
usb000j13i	Sendai	152.15366045764267
usb000j10u	Sullana	142.35222272269314
usb000j10u	Piura	139.4144176506564
usb000j0zw	Manado	171.48661998536824
usb000j0zw	Bitung	165.32300543758154
usb000j0zb	Masaya	186.9191724942094
usb000j0zb	Managua	195.69225127624296
usb000j0vn	Tomakomai	102.25935464727166
usb000j0vn	Sapporo	156.37743257962353
usb000j0vn	Otaru	192.97036601317373
usb000j0vn	Obihiro	145.89280128189833
usb000j0vn	Hakodate	171.76718737399457
usb000j0vn	Hachinohe	187.0423048771413
usb000j0vn	Ebetsu	146.70211030032803
usb000j0vn	Asahikawa	196.91943517248887
usb000j0pl	Calama	58.93910541128376
usb000j0pl	Antofagasta	178.39105313614098
usb000j0bu	Shiraz	160.75832869795198
usb000j0bu	Bandar-e Bushehr	119.35253121981007
usb000j0aw	Shiraz	166.6747238537012
usb000j0aw	Bandar-e Bushehr	118.19224253237518
